Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",10 March
2,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",31 March
3,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",7 April
4,European Grand Prix,"Nürburgring, Nürburg",28 April
5,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",5 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",19 May
7,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",2 June
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",16 June
9,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",30 June
10,British Grand Prix,"Silverstone Circuit, Silverstone",14 July
11,German Grand Prix,"Hockenheimring, Hockenheim",28 July
12,Hungarian Grand Prix,"Hungaroring, Mogyoród",11 August
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",25 August
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",8 September
15,Portuguese Grand Prix,"Autodromo do Estoril, Estoril",22 September
16,Japanese Grand Prix,"Suzuka Circuit, Suzuka",13 October
Source:[2][3],Source:[2][3],Source:[2][3],Source:[2][3]
