Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Lewis Hamilton,Kimi Räikkönen,Sebastian Vettel,Ferrari,Report
2,Chinese Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
3,Bahrain Grand Prix,Valtteri Bottas,Lewis Hamilton,Sebastian Vettel,Ferrari,Report
4,Russian Grand Prix,Sebastian Vettel,Kimi Räikkönen,Valtteri Bottas,Mercedes,Report
5,Spanish Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
6,Monaco Grand Prix,Kimi Räikkönen,Sergio Pérez,Sebastian Vettel,Ferrari,Report
7,Canadian Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
8,Azerbaijan Grand Prix,Lewis Hamilton,Sebastian Vettel,Daniel Ricciardo,Red Bull Racing-TAG Heuer,Report
9,Austrian Grand Prix,Valtteri Bottas,Lewis Hamilton,Valtteri Bottas,Mercedes,Report
10,British Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
11,Hungarian Grand Prix,Sebastian Vettel,Fernando Alonso,Sebastian Vettel,Ferrari,Report
12,Belgian Grand Prix,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
13,Italian Grand Prix,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Report
14,Singapore Grand Prix,Sebastian Vettel,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
15,Malaysian Grand Prix,Lewis Hamilton,Sebastian Vettel,Max Verstappen,Red Bull Racing-TAG Heuer,Report
16,Japanese Grand Prix,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
17,United States Grand Prix,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
18,Mexican Grand Prix,Sebastian Vettel,Sebastian Vettel,Max Verstappen,Red Bull Racing-TAG Heuer,Report
19,Brazilian Grand Prix,Valtteri Bottas,Max Verstappen,Sebastian Vettel,Ferrari,Report
20,Abu Dhabi Grand Prix,Valtteri Bottas,Valtteri Bottas,Valtteri Bottas,Mercedes,Report
Source:[100],Source:[100],Source:[100],Source:[100],Source:[100],Source:[100],Source:[100]
