Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",26 March
2,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",9 April
3,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",16 April
4,Russian Grand Prix,"Sochi Autodrom, Sochi",30 April
5,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",14 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",28 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",11 June
8,Azerbaijan Grand Prix,"Baku City Circuit, Baku",25 June
9,Austrian Grand Prix,"Red Bull Ring, Spielberg",9 July
10,British Grand Prix,"Silverstone Circuit, Silverstone",16 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",30 July
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",27 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",3 September
14,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",17 September
15,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",1 October
16,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",8 October
17,United States Grand Prix,"Circuit of the Americas, Austin, Texas",22 October
18,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",29 October
19,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",12 November
20,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",26 November
Source: [63],Source: [63],Source: [63],Source: [63]
