0,1,2,3,4,5,6,7,8,9,10,11
9,Masten Gregory,Ret,,3,Ret,7,Ret,2,,,10
10,Rodger Ward,,1,,,,,,,Ret,8
11,Jim Rathmann,,2,,,,,,,,6
12,Johnny Thomson,,3PF,,,,,,,,5
13,Harry Schell,Ret,,Ret,7,4,7,5,7,Ret,5
14,Innes Ireland,,,4,Ret,,Ret,Ret,Ret,5,5
15,Olivier Gendebien,,,,4,,,,6,,3
16,Tony Bettenhausen,,4,,,,,,,,3
17,Cliff Allison,Ret,,9,,,Ret,,5,Ret,2
18,Jean Behra,Ret,,5,Ret,,DNS,,,,2
19,Paul Goldsmith,,5,,,,,,,,2
—,Roy Salvadori,6,,Ret,Ret,6,,6,Ret,Ret,0
—,Ron Flockhart,Ret,,,6,Ret,,7,13,,0
—,Ian Burgess,,,,Ret,Ret,6,,14,,0
—,Wolfgang von Trips,Ret,,,,,DNS,,,6,0
—,Johnny Boyd,,6,,,,,,,,0
—,Graham Hill,Ret,,7,Ret,9,Ret,Ret,Ret,,0
—,Duane Carter,,7,,,,,,,,0
—,Harry Blanchard,,,,,,,,,7,0
—,Carroll Shelby,,,Ret,,Ret,,8,10,,0
—,Giorgio Scarlatti,DNQ,,,8,,,,12,,0
—,Alan Stacey,,,,,8,,,,Ret,0
—,Eddie Johnson,,8,,,,,,,,0
—,Carel Godin de Beaufort,,,10,9,,,,,,0
—,Paul Russo,,9,,,,,,,,0
—,Fritz d'Orey,,,,10,Ret,,,,Ret,0
—,A. J. Foyt,,10,,,,,,,,0
—,Chris Bristow,,,,,10,,,,,0
—,Mario de Araujo Cabral,,,,,,,10,,,0
—,Colin Davis,,,,Ret,,,,11,,0
—,Gene Hartley,,11,,,,,,,,0
—,Henry Taylor,,,,,11,,,,,0
—,Bob Veith,,12,,,,,,,,0
—,Peter Ashdown,,,,,12,,,,,0
—,Al Herman,,13,,,,,,,,0
—,Ivor Bueb,DNQ,,,,13,,,,,0
—,Jimmy Daywalt,,14,,,,,,,,0
—,Chuck Arnold,,15,,,,,,,,0
—,Giulio Cabianca,,,,,,,,15,,0
—,Jim McWithey,,16,,,,,,,,0
—,Hans Herrmann,,,,,Ret,Ret,,,,0
—,Jack Fairman,,,,,Ret,,,Ret,,0
—,Bruce Halford,Ret,,,,,,,,,0
—,Eddie Sachs,,Ret,,,,,,,,0
—,Al Keller,,Ret,,,,,,,,0
—,Pat Flaherty,,Ret,,,,,,,,0
—,Dick Rathmann,,Ret,,,,,,,,0
—,Bill Cheesbourg,,Ret,,,,,,,,0
—,Don Freeland,,Ret,,,,,,,,0
—,Ray Crawford,,Ret,,,,,,,,0
—,Don Branson,,Ret,,,,,,,,0
—,Bob Christie,,Ret,,,,,,,,0
—,Bobby Grim,,Ret,,,,,,,,0
—,Jack Turner,,Ret,,,,,,,,0
—,Chuck Weyant,,Ret,,,,,,,,0
—,Jud Larson,,Ret,,,,,,,,0
—,Mike Magill,,Ret,,,,,,,,0
—,Red Amick,,Ret,,,,,,,,0
—,Len Sutton,,Ret,,,,,,,,0
—,Jimmy Bryan,,Ret,,,,,,,,0
—,Brian Naylor,,,,,Ret,,,,,0
—,David Piper,,,,,Ret,,,,,0
—,Mike Taylor,,,,,Ret,,,,,0
—,Alejandro de Tomaso,,,,,,,,,Ret,0
—,George Constantine,,,,,,,,,Ret,0
—,Bob Said,,,,,,,,,Ret,0
—,Alain de Changy,DNQ,,,,,,,,,0
—,Lucien Bianchi,DNQ,,,,,,,,,0
—,Maria Teresa de Filippis,DNQ,,,,,,,,,0
—,Pete Lovely,DNQ,,,,,,,,,0
—,Jean Lucienbonnet,DNQ,,,,,,,,,0
—,André Testut,DNQ,,,,,,,,,0
—,Bill Moss,,,,,DNQ,,,,,0
—,Keith Greene,,,,,DNQ,,,,,0
—,Mike Parkes,,,,,DNQ,,,,,0
—,Trevor Taylor,,,,,DNQ,,,,,0
—,Dennis Taylor,,,,,DNQ,,,,,0
—,Tim Parnell,,,,,DNQ,,,,,0
—,Asdrúbal Fontes Bayardo,,,,DNS,,,,,,0
—,Phil Cade,,,,,,,,,DNS,0
Pos.,Driver,MON,500,NED,FRA,GBR,GER,POR,ITA,USA,Pts.
Key,Key,,,,,,,,,,
Colour,Result,,,,,,,,,,
Gold,Winner,,,,,,,,,,
Silver,Second place,,,,,,,,,,
Bronze,Third place,,,,,,,,,,
Green,Other points position,,,,,,,,,,
Blue,Other classified position,,,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,,,
Red,Did not pre-qualify (DNPQ),,,,,,,,,,
Black,Disqualified (DSQ),,,,,,,,,,
White,Did not start (DNS),,,,,,,,,,
White,Race cancelled (C),,,,,,,,,,
Blank,Did not practice (DNP),,,,,,,,,,
Blank,Excluded (EX),,,,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,,,
Blank,Withdrawn (WD),,,,,,,,,,
Blank,Did not enter (cell empty),,,,,,,,,,
Text formatting,Meaning,,,,,,,,,,
Bold,Pole position,,,,,,,,,,
Italics,Fastest lap,,,,,,,,,,
