Round,Grand Prix,Circuit,Date
1,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",6 March
2,Spanish Grand Prix,"Montjuïc circuit, Barcelona",18 April
3,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",23 May
4,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",20 June
5,French Grand Prix,"Paul Ricard Circuit, Le Castellet",4 July
6,British Grand Prix,"Silverstone Circuit, Silverstone",17 July
7,German Grand Prix,"Nürburgring, Nürburg",1 August
8,Austrian Grand Prix,"Österreichring, Spielberg",15 August
9,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",5 September
10,Canadian Grand Prix,"Mosport Park, Bowmanville",19 September
11,United States Grand Prix,"Watkins Glen International, New York",3 October
