Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",27 March
2,Pacific Grand Prix,"TI Circuit, Aida",17 April
3,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",1 May
4,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",15 May
5,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",29 May
6,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",12 June
7,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",3 July
8,British Grand Prix,"Silverstone Circuit, Silverstone",10 July
9,German Grand Prix,"Hockenheimring, Hockenheim",31 July
10,Hungarian Grand Prix,"Hungaroring, Mogyoród",14 August
11,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",28 August
12,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",11 September
13,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",25 September
14,European Grand Prix,"Circuito Permanente de Jerez, Jerez de la Frontera",16 October[c]
15,Japanese Grand Prix,"Suzuka Circuit, Suzuka",6 November
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",13 November
Source:[9],Source:[9],Source:[9],Source:[9]
