Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",12 January
2,Brazilian Grand Prix,"Autodromo de Interlagos, São Paulo",26 January
3,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",1 March
4,Spanish Grand Prix,"Montjuïc circuit, Barcelona",27 April
5,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",11 May
6,Belgian Grand Prix,"Circuit Zolder, Heusden-Zolder",25 May
7,Swedish Grand Prix,"Scandinavian Raceway, Anderstorp",8 June
8,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",22 June
9,French Grand Prix,"Paul Ricard Circuit, Le Castellet",6 July
10,British Grand Prix,"Silverstone Circuit, Silverstone",19 July
11,German Grand Prix,"Nürburgring, Nürburg",3 August
12,Austrian Grand Prix,"Österreichring, Spielberg",17 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",7 September
14,United States Grand Prix,"Watkins Glen Grand Prix Course, New York",5 October
