0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
18,Pierre Gasly,11,DSQ,13,7,Ret,138,13,Ret,8,15,13,6,10,19,17,16,18,19,19,15,108,13,16,19,22
19,Gabriel Bortoleto,Ret,14,19,18,18,Ret,18,14,12,14,8,Ret,9,6,15,8,11,17,18,10,Ret,Ret,13,11,19
20,Franco Colapinto,,,,,,,16,13,15,13,15,DNS,19,18,11,17,19,16,17,16,15,15,14,20,0
21,Jack Doohan,Ret,13,15,14,17,Ret,,,,,,,,,,,,,,,,,,,0
Pos.,Driver,AUS,CHN,JPN,BHR,SAU,MIA,EMI,MON,ESP,CAN,AUT,GBR,BEL,HUN,NED,ITA,AZE,SIN,USA,MXC,SAP,LVG,QAT,ABU,Points
Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144],Sources:[147][148][149][144]
Key,Key,,,,,,,,,,,,,,,,,,,,,,,,,
Colour,Result,,,,,,,,,,,,,,,,,,,,,,,,,
Gold,Winner,,,,,,,,,,,,,,,,,,,,,,,,,
Silver,Second place,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze,Third place,,,,,,,,,,,,,,,,,,,,,,,,,
Green,Other points position,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,Other classified position,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,,,,,,,,,,,,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,,,,,,,,,,,,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,,,,,,,,,,,,,,,,,,
Black,Disqualified (DSQ),,,,,,,,,,,,,,,,,,,,,,,,,
White,Did not start (DNS),,,,,,,,,,,,,,,,,,,,,,,,,
White,Race cancelled (C),,,,,,,,,,,,,,,,,,,,,,,,,
Blank,Did not practice (DNP),,,,,,,,,,,,,,,,,,,,,,,,,
Blank,Excluded (EX),,,,,,,,,,,,,,,,,,,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,,,,,,,,,,,,,,,,,,
Blank,Withdrawn (WD),,,,,,,,,,,,,,,,,,,,,,,,,
Blank,Did not enter (empty cell),,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,Meaning,,,,,,,,,,,,,,,,,,,,,,,,,
P,Pole position,,,,,,,,,,,,,,,,,,,,,,,,,
F,Fastest lap,,,,,,,,,,,,,,,,,,,,,,,,,
Superscript number,Points-scoring position in sprint,,,,,,,,,,,,,,,,,,,,,,,,,
