Pos,Constructor,ARG,BRA,RSA,USW,ESP,MON,BEL,SWE,FRA,Unnamed: 11,GBR,GER,AUT,NED,ITA,USA,CAN,JPN,Pts[10]
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,Ferrari,3,1,1,2,2,2,2,3,5,2,1,2,1,2,4,12,2,95 (97),
2,Lotus-Ford,5,5,12,1,1,5,1,6,1,3,Ret,Ret,Ret,1,2,9,Ret,62,
3,McLaren-Ford,Ret,2,4,7,4,4,7,2,3,1,Ret,6,9,4,1,3,1,60,
4,Wolf-Ford,1,Ret,2,3,3,1,Ret,Ret,Ret,Ret,2,Ret,3,Ret,3,1,10,55,
5,Brabham-Alfa Romeo,2,Ret,6,Ret,6,Ret,6,5,2,5,3,3,7,Ret,12,Ret,7,27,
6,Tyrrell-Ford,Ret,Ret,3,4,8,Ret,3,4,12,Ret,9,5,Ret,6,14,2,3,27,
7,Shadow-Ford,NC,6,Ret,Ret,Ret,6,5,9,Ret,7,10,1,13,3,9,4,4,23,
8,Ligier-Matra,NC,Ret,Ret,9,7,7,Ret,1,8,6,Ret,Ret,2,8,7,Ret,5,18,
9,Copersucar-Ford,4,4,10,5,14,Ret,Ret,18,11,Ret,DNQ,11,4,DNQ,13,Ret,,11,
10,Ensign-Ford,6,Ret,9,Ret,Ret,10,Ret,7,7,Ret,6,Ret,5,5,5,5,Ret,10,
11,Surtees-Ford,7,Ret,7,11,9,8,4,Ret,13,8,5,15,12,Ret,11,6,8,6,
12,Penske-Ford,,,,6,DNQ,11,11,8,Ret,9,Ret,12,8,Ret,Ret,7,,1,
—,March-Ford,Ret,Ret,14,10,10,DNQ,10,15,NC,10,8,9,10,7,15,8,12,0,
—,Hesketh-Ford,,,,WD,Ret,12,9,13,10,Ret,Ret,7,Ret,9,8,Ret,,0,
—,Kojima-Ford,,,,,,,,,,,,,,,,,11,0,
—,LEC-Ford,,,,,DNQ,WD,13,14,Ret,DNPQ,,,,,,,,0,
—,BRM,WD,Ret,15,WD,DNQ,,DNQ,DNQ,DNQ,DNPQ,DNQ,WD,DNQ,DNQ,,,,0,
—,Renault,,,,,,,,,WD,Ret,WD,WD,Ret,Ret,Ret,DNQ,,0,
—,Boro-Ford,,,,,,,,,,,,,DSQ,DNQ,,,,0,
—,Apollon-Ford,,,,,,,WD,,WD,,,WD,WD,DNQ,,,,0,
—,McGuire-Ford,,,,,,,,,,DNPQ,,,,,,,,0,
Pos,Constructor,ARG,BRA,RSA,USW,ESP,MON,BEL,SWE,FRA,GBR,GER,AUT,NED,ITA,USA,CAN,JPN,Pts,
