Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autodromo de Buenos Aires, Buenos Aires",9 January
2,Brazilian Grand Prix,"Autodromo de Interlagos, São Paulo",23 January
3,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",5 March
4,United States Grand Prix West,"Long Beach Street Circuit, California",3 April
5,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",8 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",22 May
7,Belgian Grand Prix,"Circuit Zolder, Heusden-Zolder",5 June
8,Swedish Grand Prix,"Scandinavian Raceway, Anderstorp",19 June
9,French Grand Prix,"Dijon-Prenois, Prenois",3 July
10,British Grand Prix,"Silverstone Circuit, Silverstone",16 July
11,German Grand Prix,"Hockenheimring, Hockenheim",31 July
12,Austrian Grand Prix,"Österreichring, Spielberg",14 August
13,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",28 August
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",11 September
15,United States Grand Prix,"Watkins Glen Grand Prix Course, New York",2 October
16,Canadian Grand Prix,"Mosport Park, Bowmanville, Ontario",9 October
17,Japanese Grand Prix,"Fuji Speedway, Oyama, Shizuoka",23 October
