Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Argentine Grand Prix,James Hunt,James Hunt,Jody Scheckter,Wolf-Ford,Report
2,Brazilian Grand Prix,James Hunt,James Hunt,Carlos Reutemann,Ferrari,Report
3,South African Grand Prix,James Hunt,John Watson,Niki Lauda,Ferrari,Report
4,United States Grand Prix West,Niki Lauda,Niki Lauda,Mario Andretti,Lotus-Ford,Report
5,Spanish Grand Prix,Mario Andretti,Jacques Laffite,Mario Andretti,Lotus-Ford,Report
6,Monaco Grand Prix,John Watson,Jody Scheckter,Jody Scheckter,Wolf-Ford,Report
7,Belgian Grand Prix,Mario Andretti,Gunnar Nilsson,Gunnar Nilsson,Lotus-Ford,Report
8,Swedish Grand Prix,Mario Andretti,Mario Andretti,Jacques Laffite,Ligier-Matra,Report
9,French Grand Prix,Mario Andretti,Mario Andretti,Mario Andretti,Lotus-Ford,Report
10,British Grand Prix,James Hunt,James Hunt,James Hunt,McLaren-Ford,Report
11,German Grand Prix,Jody Scheckter,Niki Lauda,Niki Lauda,Ferrari,Report
12,Austrian Grand Prix,Niki Lauda,John Watson,Alan Jones,Shadow-Ford,Report
13,Dutch Grand Prix,Mario Andretti,Niki Lauda,Niki Lauda,Ferrari,Report
14,Italian Grand Prix,James Hunt,Mario Andretti,Mario Andretti,Lotus-Ford,Report
15,United States Grand Prix,James Hunt,Ronnie Peterson,James Hunt,McLaren-Ford,Report
16,Canadian Grand Prix,Mario Andretti,Mario Andretti,Jody Scheckter,Wolf-Ford,Report
17,Japanese Grand Prix,Mario Andretti,Jody Scheckter,James Hunt,McLaren-Ford,Report
