Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",16 March
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",23 March
3,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",6 April
4,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",27 April
5,Turkish Grand Prix,"Istanbul Park, Istanbul",11 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",25 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",8 June
8,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",22 June
9,British Grand Prix,"Silverstone Circuit, Silverstone",6 July
10,German Grand Prix,"Hockenheimring, Hockenheim",20 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",3 August
12,European Grand Prix,"Valencia Street Circuit, Valencia",24 August
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",7 September
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",14 September
15,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",28 September
16,Japanese Grand Prix,"Fuji Speedway, Oyama, Shizuoka",12 October
17,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",19 October
18,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",2 November
Sources:[49][50],Sources:[49][50],Sources:[49][50],Sources:[49][50]
