Pos.,Manufacturer,MON,BEL,NED,FRA,GBR,GER,ITA,USA,MEX,RSA,Pts.[15]
1,Lotus-Climax,(6),1,1,1,1,(2),1,(3),1,(1),54 (74)
2,BRM,1,(4),(5),3‡,3,3,2,1,3,(3),36 (45)
3,Brabham-Climax,Ret,3,2,4,Ret,7,(5),4,2,2,28 (30)
4,Ferrari,4,Ret,3,Ret,2,1,Ret,5,Ret,5,26
5,Cooper-Climax,3,2,11,2,9,(6),3,8,5,4,25 (26)
6,BRP-BRM,,Ret,4,9,Ret,,4,WD,WD,,6
7,Porsche,,6,9,,10,4,DNQ,6,10,10,5
8,Lotus-BRM,Ret,Ret,7,6,6,5,8,10,7,DNS,4
—,Lola-Climax,Ret,Ret,Ret,7,7,Ret,10,Ret,Ret,WD,0
—,Stebro-Ford,,,,,,,,7,,,0
—,Scirocco-BRM,WD,8,WD,Ret,Ret,Ret,DNQ,,,,0
—,ATS,WD,Ret,Ret,WD,WD,WD,11,Ret,Ret,,0
—,LDS-Alfa Romeo,,,,,,,,,,11,0
—,Cooper-Maserati,,,,,,,DNQ,,,12,0
—,Lotus-Ford,,,,,,,,,,14,0
—,Gilby-BRM,,,,,Ret,DNQ,DNQ,,,,0
—,Alfa Special-Alfa Romeo,,,,,,,,,,Ret,0
—,Lotus-Borgward,,,,,,DNQ,,,,,0
—,De Tomaso-Ferrari,WD,,,WD,DNP,,DNQ,,,,0
Pos.,Manufacturer,MON,BEL,NED,FRA,GBR,GER,ITA,USA,MEX,RSA,Pts.
