Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Monaco Grand Prix,Jim Clark,John Surtees,Graham Hill,BRM,D,Report
2,Belgian Grand Prix,Graham Hill,Jim Clark,Jim Clark,Lotus-Climax,D,Report
3,Dutch Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Climax,D,Report
4,French Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Climax,D,Report
5,British Grand Prix,Jim Clark,John Surtees,Jim Clark,Lotus-Climax,D,Report
6,German Grand Prix,Jim Clark,John Surtees,John Surtees,Ferrari,D,Report
7,Italian Grand Prix,John Surtees,Jim Clark,Jim Clark,Lotus-Climax,D,Report
8,United States Grand Prix,Graham Hill,Jim Clark,Graham Hill,BRM,D,Report
9,Mexican Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Climax,D,Report
10,South African Grand Prix,Jim Clark,Dan Gurney,Jim Clark,Lotus-Climax,D,Report
