0,1,2,3,4,5,6,7,8,9,10,11,12
17,Ludovico Scarfiotti,,,6,DNS,,,,,,,1
—,Chris Amon,DNS,Ret,Ret,7,7,Ret,DNS,,Ret,,0
—,Hap Sharp,,,,,,,,Ret,7,,0
—,Peter Broeker,,,,,,,,7,,,0
—,Maurice Trintignant,Ret,,,8,,,9,,,,0
—,Mike Hailwood,,,,,8,,10,,,,0
—,Tony Settember,,8,,Ret,Ret,Ret,DNQ,,,,0
—,John Love,,,,,,,,,,9,0
—,Bernard Collomb,DNQ,,,,,10,,,,,0
—,Phil Hill,,Ret,Ret,NC,,,11,Ret,Ret,,0
—,Masten Gregory,,,,Ret,11,,Ret,Ret,Ret,,0
—,Moisés Solana,,,,,,,,,11,,0
—,Doug Serrurier,,,,,,,,,,11,0
—,Bob Anderson,,,,,12,,12,,,,0
—,Trevor Blokdyk,,,,,,,,,,12,0
—,John Campbell-Jones,,,,,13,,,,,,0
—,Mike Spence,,,,,,,13,,,,0
—,Brausch Niemann,,,,,,,,,,14,0
—,Giancarlo Baghetti,,Ret,Ret,,,,15,Ret,Ret,,0
—,Willy Mairesse,Ret,Ret,,,,Ret,,,,,0
—,Ian Burgess,,,,,Ret,Ret,,,,,0
—,Pedro Rodriguez,,,,,,,,Ret,Ret,,0
—,Ian Raby,,,,,Ret,DNQ,DNQ,,,,0
—,Lucien Bianchi,,Ret,,,,,,,,,0
—,Mário de Araújo Cabral,,,,,,Ret,DNS,,,,0
—,Rodger Ward,,,,,,,,Ret,,,0
—,Peter de Klerk,,,,,,,,,,Ret,0
—,Sam Tingle,,,,,,,,,,Ret,0
—,Ernie Pieterse,,,,,,,,,,Ret,0
—,David Prophet,,,,,,,,,,Ret,0
—,André Pilette,,,,,,DNQ,DNQ,,,,0
—,Tim Parnell,,,,,,DNQ,,,,,0
—,Kurt Kuhnke,,,,,,DNQ,,,,,0
—,Roberto Lippi,,,,,,,DNQ,,,,0
—,Ernesto Brambilla,,,,,,,DNQ,,,,0
—,Frank Dochnal,,,,,,,,,DNQ,,0
—,Peter Arundell,,,,DNS,,,,,,,0
—,Paddy Driver,,,,,,,,,,DNS,0
Pos.,Driver,MON,BEL,NED,FRA,GBR,GER,ITA,USA,MEX,RSA,Pts.[15]
Key,Key,,,,,,,,,,,
Colour,Result,,,,,,,,,,,
Gold,Winner,,,,,,,,,,,
Silver,Second place,,,,,,,,,,,
Bronze,Third place,,,,,,,,,,,
Green,Other points position,,,,,,,,,,,
Blue,Other classified position,,,,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,,,,
Black,Disqualified (DSQ),,,,,,,,,,,
White,Did not start (DNS),,,,,,,,,,,
White,Race cancelled (C),,,,,,,,,,,
Blank,Did not practice (DNP),,,,,,,,,,,
Blank,Excluded (EX),,,,,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,,,,
Blank,Withdrawn (WD),,,,,,,,,,,
Blank,Did not enter (empty cell),,,,,,,,,,,
Annotation,Meaning,,,,,,,,,,,
P,Pole position,,,,,,,,,,,
F,Fastest lap,,,,,,,,,,,
