Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",18 March
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",8 April
3,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",15 April
4,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",13 May
5,Monaco Grand Prix,"Circuit de Monaco, Monte-Carlo",27 May
6,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",10 June
7,United States Grand Prix,"Indianapolis Motor Speedway, Speedway",17 June
8,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",1 July
9,British Grand Prix,"Silverstone Circuit, Silverstone",8 July
10,European Grand Prix,"Nürburgring, Nürburg",22 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",5 August
12,Turkish Grand Prix,"Istanbul Park, Istanbul",26 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",9 September
14,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",16 September
15,Japanese Grand Prix,"Fuji Speedway, Oyama, Shizuoka",30 September
16,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",7 October
17,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",21 October
Sources:[30][31],Sources:[30][31],Sources:[30][31],Sources:[30][31]
