Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo de Buenos Aires, Buenos Aires",13 January
2,Brazilian Grand Prix,"Autodromo de Interlagos, São Paulo",27 January
3,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",1 March
4,United States Grand Prix West,"Long Beach Street Circuit, California",30 March
5,Belgian Grand Prix,"Zolder, Heusden-Zolder",4 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",18 May
7,French Grand Prix,"Paul Ricard Circuit, Le Castellet",29 June
8,British Grand Prix,"Brands Hatch, Kent",13 July
9,German Grand Prix,"Hockenheimring, Hockenheim",10 August
10,Austrian Grand Prix,"Österreichring, Spielberg",17 August
11,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",31 August
12,Italian Grand Prix,"Autodromo Dino Ferrari, Imola",14 September
13,Canadian Grand Prix,"Île Notre-Dame Circuit, Montréal",28 September
14,United States Grand Prix,"Watkins Glen Grand Prix Course, New York State",5 October
