Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Bahrain Grand Prix,Max Verstappen,Zhou Guanyu,Max Verstappen,Red Bull Racing-Honda RBPT,Report
2,Saudi Arabian Grand Prix,Sergio Pérez,Max Verstappen,Sergio Pérez,Red Bull Racing-Honda RBPT,Report
3,Australian Grand Prix,Max Verstappen,Sergio Pérez,Max Verstappen,Red Bull Racing-Honda RBPT,Report
4,Azerbaijan Grand Prix,Charles Leclerc,George Russell,Sergio Pérez,Red Bull Racing-Honda RBPT,Report
5,Miami Grand Prix,Sergio Pérez,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
6,Monaco Grand Prix,Max Verstappen,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda RBPT,Report
7,Spanish Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
8,Canadian Grand Prix,Max Verstappen,Sergio Pérez,Max Verstappen,Red Bull Racing-Honda RBPT,Report
9,Austrian Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
10,British Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
11,Hungarian Grand Prix,Lewis Hamilton,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
12,Belgian Grand Prix,Charles Leclerc[g],Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda RBPT,Report
13,Dutch Grand Prix,Max Verstappen,Fernando Alonso,Max Verstappen,Red Bull Racing-Honda RBPT,Report
14,Italian Grand Prix,Carlos Sainz Jr.,Oscar Piastri,Max Verstappen,Red Bull Racing-Honda RBPT,Report
15,Singapore Grand Prix,Carlos Sainz Jr.,Lewis Hamilton,Carlos Sainz Jr.,Ferrari,Report
16,Japanese Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
17,Qatar Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
18,United States Grand Prix,Charles Leclerc,Yuki Tsunoda,Max Verstappen,Red Bull Racing-Honda RBPT,Report
19,Mexico City Grand Prix,Charles Leclerc,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda RBPT,Report
20,São Paulo Grand Prix,Max Verstappen,Lando Norris,Max Verstappen,Red Bull Racing-Honda RBPT,Report
21,Las Vegas Grand Prix,Charles Leclerc,Oscar Piastri,Max Verstappen,Red Bull Racing-Honda RBPT,Report
22,Abu Dhabi Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
Sources:[207][208][209],Sources:[207][208][209],Sources:[207][208][209],Sources:[207][208][209],Sources:[207][208][209],Sources:[207][208][209],Sources:[207][208][209]
