Round,Grand Prix,Circuit,Race date
1,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",5 March
2,Saudi Arabian Grand Prix,"Jeddah Corniche Circuit, Jeddah",19 March
3,Australian Grand Prix,"Albert Park Circuit, Melbourne",2 April
4,Azerbaijan Grand Prix,"Baku City Circuit, Baku",30 April
5,Miami Grand Prix,"Miami International Autodrome, Miami Gardens, Florida",7 May
6,Monaco Grand Prix,"Circuit de Monaco, Monaco",28 May
7,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",4 June
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",18 June
9,Austrian Grand Prix,"Red Bull Ring, Spielberg",2 July
10,British Grand Prix,"Silverstone Circuit, Silverstone",9 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",23 July
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",30 July
13,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",27 August
14,Italian Grand Prix,"Monza Circuit, Monza",3 September
15,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",17 September
16,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",24 September
17,Qatar Grand Prix,"Lusail International Circuit, Lusail",8 October
18,United States Grand Prix,"Circuit of the Americas, Austin, Texas",22 October
19,Mexico City Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",29 October
20,São Paulo Grand Prix,"Interlagos Circuit, São Paulo",5 November
21,Las Vegas Grand Prix,"Las Vegas Strip Circuit, Paradise, Nevada",18 November[d]
22,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",26 November
Sources:[53][54],Sources:[53][54],Sources:[53][54],Sources:[53][54]
