Pos.,Manufacturer,NED,MON,BEL,FRA,GBR,GER,ITA,USA,RSA,Pts.[a]
1,BRM,1,(6),2,(3),(4),1,1,(2),1,42 (56)
2,Lotus-Climax,2,8,1,7,1,4,9,1,(5),36 (38)
3,Cooper-Climax,(5),1,Ret,2,3,(5),3,(3),2,29 (37)
4,Lola-Climax,Ret,4,5,5,2,2,Ret,Ret,Ret,19
5,Porsche,6,5,7,1,9,3,(6),5,11,18 (19)
6,Ferrari,3,2,3,WD,Ret,6,4,WD,,18
7,Brabham-Climax,,,,,,Ret,,4,4,6
8,Lotus-BRM,,DNQ,Ret,Ret,Ret,Ret,12,6,,1
—,Emeryson-Climax,NC,,,,11,,Ret,,WD,0
—,ENB-Maserati,,,,,,16,,,,0
—,Gilby-BRM,,,,,WD,Ret,DNQ,,,0
—,LDS-Alfa Romeo,,,,,,,,,Ret,0
—,Cooper-Alfa Romeo,,,,,,,,,Ret,0
—,De Tomaso,,,,,,,DNQ,,,0
—,De Tomaso-OSCA,,,,,,,DNQ,,,0
Pos.,Manufacturer,NED,MON,BEL,FRA,GBR,GER,ITA,USA,RSA,Pts.
