Entrant,Constructor,Chassis,Engine,Driver,Rounds
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,Phil Hill,"1–3, 5–7"
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,Giancarlo Baghetti,"1, 3, 6–7"
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,Ricardo Rodríguez,"1–3, 6–7"
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,Lorenzo Bandini,"2, 6–7"
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,Willy Mairesse,"2–3, 7"
Team Lotus,Lotus-Climax,25 24,Climax FWMV 1.5 V8,Jim Clark,All
Team Lotus,Lotus-Climax,25 24,Climax FWMV 1.5 V8,Trevor Taylor,All
Cooper Car Company,Cooper-Climax,T60 T55 T53,Climax FWMV 1.5 V8 Climax FPF 1.5 L4,Bruce McLaren,All
Cooper Car Company,Cooper-Climax,T60 T55 T53,Climax FWMV 1.5 V8 Climax FPF 1.5 L4,Tony Maggs,All
Cooper Car Company,Cooper-Climax,T60 T55 T53,Climax FWMV 1.5 V8 Climax FPF 1.5 L4,Timmy Mayer,8
Brabham Racing Organisation,Lotus-Climax,24,Climax FWMV 1.5 V8,Jack Brabham,1–5
Brabham Racing Organisation,Brabham-Climax,BT3,Climax FWMV 1.5 V8,Jack Brabham,"6, 8–9"
UDT Laystall Racing Team,Lotus-Climax,24 18/21,Climax FWMV 1.5 V8 Climax FPF 1.5 L4,Innes Ireland,"1–5, 7–9"
UDT Laystall Racing Team,Lotus-Climax,24 18/21,Climax FWMV 1.5 V8 Climax FPF 1.5 L4,Masten Gregory,"1, 5"
UDT Laystall Racing Team,Lotus-BRM,24,BRM P56 1.5 V8,Masten Gregory,"2–4, 7–8"
Porsche System Engineering,Porsche,804 718,Porsche 753 1.5 F8 Porsche 547/3 1.5 F4,Jo Bonnier,"1–2, 4–8"
Porsche System Engineering,Porsche,804 718,Porsche 753 1.5 F8 Porsche 547/3 1.5 F4,Dan Gurney,"1–2, 4–8"
Porsche System Engineering,Porsche,804 718,Porsche 753 1.5 F8 Porsche 547/3 1.5 F4,Phil Hill,8
Ecurie Maarsbergen,Porsche,718 787,Porsche 547/3 1.5 F4,Carel Godin de Beaufort,All
Ecurie Maarsbergen,Porsche,718 787,Porsche 547/3 1.5 F4,Ben Pon,1
