Pos.,Manufacturer,MON,NED,BEL,FRA,GBR,GER,AUT,ITA,USA,MEX,Pts.
1,Ferrari,10,2,Ret,9,(3),1,1,1,2,2,45 (49)
2,BRM,1,(4),(4),2,2,2,2,(4),1,8,42 (51)
3,Lotus-Climax,3,1,1,4,1,8,Ret,(6),(5),4,37 (40)
4,Brabham-Climax,7,6,3,1,4,10,3,10,Ret,1,30
5,Cooper-Climax,5,7,2,6,6,Ret,Ret,2,Ret,7,16
6,Brabham-BRM,,9,,Ret,11,4,Ret,7,3,13,7
7,BRP-BRM,Ret,,7,Ret,10,,5,5,6,12,5
8,Lotus-BRM,6,5,Ret,8,Ret,11,8,13,8,Ret,3
—,Honda,,,,,,13,,Ret,Ret,,0
—,Cooper-Ford,,,,,14,,,,,,0
—,Scirocco-Climax,WD,,Ret,,,DNQ,,,,,0
—,Porsche,,Ret,,,,DNS,,,,,0
—,Brabham-Ford,,,,,Ret,,,,,,0
—,ATS,,,,,,,,Ret,,,0
Pos.,Manufacturer,MON,NED,BEL,FRA,GBR,GER,AUT,ITA,USA,MEX,Pts.
